B-spline fitting begin ...
3-3-10-10
第 1 次函数值:2.3297849790e-003 梯度范数1.0210553240e-003
第 2 次函数值:2.3178796482e-003 梯度范数1.0064598488e-003
第 3 次函数值:2.2715584831e-003 梯度范数9.4046019413e-004
第 4 次函数值:2.1082552299e-003 梯度范数7.2288879715e-004
第 5 次函数值:1.8360269015e-003 梯度范数7.4827852355e-004
第 6 次函数值:1.5733528852e-003 梯度范数4.6489624493e-004
第 7 次函数值:1.2657684989e-003 梯度范数1.0741436647e-003
第 8 次函数值:1.1393397368e-003 梯度范数6.1042301271e-004
第 9 次函数值:1.0465062728e-003 梯度范数3.0765538459e-004
第 10 次函数值:1.0291410929e-003 梯度范数2.8678923290e-004
第 11 次函数值:1.0484638134e-003 梯度范数4.7917465194e-004
第 12 次函数值:1.0291617523e-003 梯度范数2.8598079400e-004
第 13 次函数值:1.0291432565e-003 梯度范数2.8695354396e-004
第 14 次函数值:1.0291411646e-003 梯度范数2.8682931028e-004
第 15 次函数值:1.0291412595e-003 梯度范数2.8679274266e-004
第 16 次函数值:1.0291411110e-003 梯度范数2.8678904391e-004
第 17 次函数值:1.0291410929e-003 梯度范数2.8678923290e-004
第 18 次函数值:1.0291410929e-003 梯度范数2.8678923290e-004
第 19 次函数值:1.0291411439e-003 梯度范数2.8678910310e-004
第 20 次函数值:1.0291410929e-003 梯度范数2.8678923290e-004
第 21 次函数值:1.0291410929e-003 梯度范数2.8678923290e-004
第 22 次函数值:1.0291409242e-003 梯度范数2.8678912273e-004
第 23 次函数值:1.0291409242e-003 梯度范数2.8678912273e-004
第 24 次函数值:1.0291409242e-003 梯度范数2.8678912273e-004
第 25 次函数值:1.0291409083e-003 梯度范数2.8678910530e-004
第 26 次函数值:1.0291409083e-003 梯度范数2.8678910530e-004
第 27 次函数值:1.0291409083e-003 梯度范数2.8678910530e-004
第 28 次函数值:1.0291409083e-003 梯度范数2.8678910530e-004
第 29 次函数值:1.0291409083e-003 梯度范数2.8678910530e-004
第 30 次函数值:1.0273650864e-003 梯度范数2.7961108033e-004
第 31 次函数值:1.0204361082e-003 梯度范数2.5735070808e-004
第 32 次函数值:9.9551533993e-004 梯度范数2.1638606866e-004
第 33 次函数值:9.6285385846e-004 梯度范数3.0771433653e-004
第 34 次函数值:9.2588878124e-004 梯度范数1.5241684622e-004
第 35 次函数值:9.0640246325e-004 梯度范数1.0523989264e-004
第 36 次函数值:8.9940966246e-004 梯度范数1.8571441944e-004
第 37 次函数值:8.8971411266e-004 梯度范数1.1568530613e-004
第 38 次函数值:8.9791184225e-004 梯度范数1.4122801176e-004
第 39 次函数值:8.8972932569e-004 梯度范数1.1541619466e-004
第 40 次函数值:8.8971632443e-004 梯度范数1.1593276679e-004
第 41 次函数值:8.8971429793e-004 梯度范数1.1567972046e-004
第 42 次函数值:8.8971410723e-004 梯度范数1.1568467763e-004
第 43 次函数值:8.8971435239e-004 梯度范数1.1568140323e-004
第 44 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 45 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 46 次函数值:8.8971417613e-004 梯度范数1.1568254957e-004
第 47 次函数值:8.8971434305e-004 梯度范数1.1568493611e-004
第 48 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 49 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 50 次函数值:8.8971433357e-004 梯度范数1.1568453846e-004
第 51 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 52 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 53 次函数值:8.8971401691e-004 梯度范数1.1568459079e-004
第 54 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 55 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 56 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
第 57 次函数值:8.8971400003e-004 梯度范数1.1568454850e-004
迭代结束的原因 1

