B-spline fitting begin ...

第 1 次函数值:8.8935589215e-008 梯度范数6.7603606302e-009
第 2 次函数值:8.8935588874e-008 梯度范数6.7603597737e-009
第 3 次函数值:8.8935584935e-008 梯度范数6.7603588486e-009
第 4 次函数值:8.8935517302e-008 梯度范数6.7603375196e-009
第 5 次函数值:8.8935164624e-008 梯度范数6.7602691726e-009
第 6 次函数值:8.8933838991e-008 梯度范数6.7599817087e-009
第 7 次函数值:8.8928661741e-008 梯度范数6.7588658256e-009
第 8 次函数值:8.8908008619e-008 梯度范数6.7704402922e-009
第 9 次函数值:8.8825272074e-008 梯度范数6.7569638960e-009
第 10 次函数值:8.8496179454e-008 梯度范数6.6898396773e-009
第 11 次函数值:8.7209639275e-008 梯度范数6.4516979750e-009
第 12 次函数值:8.2563038777e-008 梯度范数5.6324014399e-009
第 13 次函数值:7.3303283048e-008 梯度范数5.0128239159e-009
第 14 次函数值:6.5346745517e-008 梯度范数3.4548702541e-009
第 15 次函数值:6.3330613213e-008 梯度范数6.7601831344e-009
第 16 次函数值:6.2650629746e-008 梯度范数4.1829471095e-009
第 17 次函数值:6.2205446400e-008 梯度范数2.8193543824e-009
第 18 次函数值:6.0864815116e-008 梯度范数1.7579403615e-009
第 19 次函数值:6.0158119499e-008 梯度范数1.2470393273e-009
第 20 次函数值:5.9955151881e-008 梯度范数1.5789669683e-009
第 21 次函数值:5.9605638116e-008 梯度范数1.1104784237e-009
第 22 次函数值:5.9517375683e-008 梯度范数1.1439954746e-009
第 23 次函数值:5.9183454517e-008 梯度范数1.2895661952e-009
第 24 次函数值:5.9253645307e-008 梯度范数7.6051192453e-010
第 25 次函数值:5.9112736547e-008 梯度范数7.0367349210e-010
第 26 次函数值:5.9089814988e-008 梯度范数9.0727388625e-010
第 27 次函数值:5.8936875303e-008 梯度范数8.2607685486e-010
第 28 次函数值:5.8546789512e-008 梯度范数4.9972280603e-010
第 29 次函数值:5.8319216596e-008 梯度范数8.3421929000e-010
第 30 次函数值:5.7999947840e-008 梯度范数7.8757244534e-010
第 31 次函数值:5.7623398275e-008 梯度范数7.4220332038e-010
第 32 次函数值:5.7322584044e-008 梯度范数9.3427571014e-010
第 33 次函数值:5.6859870364e-008 梯度范数8.6913570887e-010
第 34 次函数值:5.6500879034e-008 梯度范数8.5676512622e-010
第 35 次函数值:5.6342710534e-008 梯度范数1.1771826350e-009
第 36 次函数值:5.5774802604e-008 梯度范数1.0245590057e-009
第 37 次函数值:5.5417091792e-008 梯度范数1.2502060380e-009
第 38 次函数值:5.4763175982e-008 梯度范数5.7632238802e-010
第 39 次函数值:5.4412893419e-008 梯度范数5.6352742322e-010
第 40 次函数值:5.4232070739e-008 梯度范数8.5069499726e-010
第 41 次函数值:5.4309643183e-008 梯度范数6.5566136248e-010
第 42 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 43 次函数值:5.4359438620e-008 梯度范数4.4042294836e-010
第 44 次函数值:5.4139543567e-008 梯度范数6.6149044207e-010
第 45 次函数值:5.4139435185e-008 梯度范数6.6190286622e-010
第 46 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 47 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 48 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 49 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 50 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 51 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 52 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 53 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 54 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 55 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 56 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 57 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 58 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 59 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 60 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 61 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
第 62 次函数值:5.4139435162e-008 梯度范数6.6189810212e-010
迭代结束的原因 1

